date,XLU
2000-01-03,5.513057231903076
2000-01-04,5.3467512130737305
2000-01-05,5.4816765785217285
2000-01-06,5.47226095199585
2000-01-07,5.5193305015563965
2000-01-10,5.538158893585205
2000-01-11,5.478539943695068
2000-01-12,5.422062397003174
2000-01-13,5.371856212615967
2000-01-14,5.4157843589782715
2000-01-18,5.393819332122803
2000-01-19,5.396958351135254
2000-01-20,5.422062397003174
2000-01-21,5.597776889801025
2000-01-24,5.522468566894531
2000-01-25,5.393819332122803
2000-01-26,5.368716716766357
2000-01-27,5.334203720092773
2000-01-28,5.305959224700928
2000-01-31,5.550710678100586
2000-02-01,5.509920597076416
2000-02-02,5.4816765785217285
2000-02-03,5.47226095199585
2000-02-04,5.444025039672852
2000-02-07,5.428333282470703
2000-02-08,5.440887928009033
2000-02-09,5.440887928009033
2000-02-10,5.3624420166015625
2000-02-11,5.268310070037842
2000-02-14,5.274586200714111
2000-02-15,5.262035369873047
2000-02-16,5.240067958831787
2000-02-17,5.208693504333496
2000-02-18,5.017287731170654
2000-02-22,4.9984612464904785
2000-02-23,4.894914627075195
2000-02-24,4.731751441955566
2000-02-25,4.706648826599121
2000-02-28,4.84157133102417
2000-02-29,4.876087665557861
2000-03-01,5.089457035064697
2000-03-02,5.2212419509887695
2000-03-03,5.268310070037842
2000-03-06,5.120832920074463
2000-03-07,5.061219215393066
2000-03-08,5.09573221206665
2000-03-09,5.136525630950928
2000-03-10,5.136525630950928
2000-03-13,5.152210235595703
2000-03-14,5.117697715759277
2000-03-15,5.145936489105225
2000-03-16,5.3467512130737305
2000-03-17,5.389770030975342
2000-03-20,5.3676438331604
2000-03-21,5.3328680992126465
2000-03-22,5.209583282470703
2000-03-23,5.298096656799316
2000-03-24,5.247519016265869
2000-03-27,5.320223808288574
2000-03-28,5.294937610626221
2000-03-29,5.389770030975342
2000-03-30,5.3771257400512695
2000-03-31,5.408736705780029
2000-04-03,5.443511486053467
2000-04-04,5.519378662109375
2000-04-05,5.5920867919921875
2000-04-06,5.626859188079834
2000-04-07,5.611052989959717
2000-04-10,5.5984063148498535
2000-04-11,5.743819236755371
2000-04-12,5.794398784637451
2000-04-13,5.800723075866699
2000-04-14,5.58892297744751
2000-04-17,5.503572940826416
2000-04-18,5.519378662109375
2000-04-19,5.5699567794799805
2000-04-20,5.58892297744751
2000-04-24,5.740660667419434
2000-04-25,5.911365509033203
2000-04-26,5.898719787597656
2000-04-27,5.76594877243042
2000-04-28,5.762786865234375
2000-05-01,5.762786865234375
2000-05-02,5.554152011871338
2000-05-03,5.573117733001709
2000-05-04,5.563634395599365
2000-05-05,5.576280117034912
2000-05-08,5.6142144203186035
2000-05-09,5.595245838165283
2000-05-10,5.702723979949951
2000-05-11,5.788078308105469
2000-05-12,5.6964006423950195
2000-05-15,5.807043075561523
2000-05-16,5.781754493713379
2000-05-17,5.693241119384766
2000-05-18,5.740660667419434
2000-05-19,5.633178234100342
2000-05-22,5.67111349105835
2000-05-23,5.566795825958252
2000-05-24,5.661630153656006
2000-05-25,5.566795825958252
2000-05-26,5.67743444442749
2000-05-30,5.718530654907227
2000-05-31,5.750142574310303
2000-06-01,5.7912373542785645
2000-06-02,5.772268295288086
2000-06-05,5.639503479003906
2000-06-06,5.772268295288086
2000-06-07,5.794398784637451
2000-06-08,5.829171657562256
2000-06-09,5.90187931060791
2000-06-12,5.876591205596924
2000-06-13,6.003037929534912
2000-06-14,5.977748394012451
2000-06-15,5.946132659912109
2000-06-16,5.879706859588623
2000-06-19,5.975259780883789
2000-06-20,5.911555290222168
2000-06-21,5.93066930770874
2000-06-22,5.892444133758545
2000-06-23,5.911555290222168
2000-06-26,5.892444133758545
2000-06-27,5.733192443847656
2000-06-28,5.7809672355651855
2000-06-29,5.688597202301025
2000-06-30,5.554821491241455
2000-07-03,5.720449924468994
2000-07-05,5.7714104652404785
2000-07-06,5.7777814865112305
2000-07-07,5.838300704956055
2000-07-10,5.838300704956055
2000-07-11,5.784154891967773
2000-07-12,5.809631824493408
2000-07-13,5.835113525390625
2000-07-14,5.755486965179443
2000-07-17,5.707711696624756
2000-07-18,5.685413360595703
2000-07-19,5.7427473068237305
2000-07-20,5.650376319885254
2000-07-21,5.707711696624756
2000-07-24,5.688597202301025
2000-07-25,5.73637580871582
2000-07-26,5.682230472564697
2000-07-27,5.6599345207214355
2000-07-28,5.624894618988037
2000-07-31,5.640823841094971
2000-08-01,5.765039443969727
2000-08-02,5.860593318939209
2000-08-03,5.870150089263916
2000-08-04,5.838300704956055
2000-08-07,5.952963829040527
2000-08-08,5.79689359664917
2000-08-09,5.704525947570801
2000-08-10,5.704525947570801
2000-08-11,5.7682294845581055
2000-08-14,5.803262233734131
2000-08-15,5.841484069824219
2000-08-16,5.758672714233398
2000-08-17,5.682230472564697
2000-08-18,5.714080810546875
2000-08-21,5.7522993087768555
2000-08-22,5.682230472564697
2000-08-23,5.72681999206543
2000-08-24,5.714080810546875
2000-08-25,5.707711696624756
2000-08-28,5.809631824493408
2000-08-29,5.758672714233398
2000-08-30,5.8160014152526855
2000-08-31,5.860593318939209
2000-09-01,5.93066930770874
2000-09-05,5.952963829040527
2000-09-06,6.0262227058410645
2000-09-07,6.0262227058410645
2000-09-08,6.217326641082764
2000-09-11,6.360657215118408
2000-09-12,6.344730377197266
2000-09-13,6.300142288208008
2000-09-14,6.217326641082764
2000-09-15,6.275341510772705
2000-09-18,6.236800193786621
2000-09-19,6.134032249450684
2000-09-20,6.024839878082275
2000-09-21,6.06980037689209
2000-09-22,6.223954200744629
2000-09-25,6.268916606903076
2000-09-26,6.358839511871338
2000-09-27,6.333146572113037
2000-09-28,6.538686275482178
2000-09-29,6.635034561157227
2000-10-02,6.673572063446045
2000-10-03,6.590072154998779
2000-10-04,6.590072154998779
2000-10-05,6.6478776931762695
2000-10-06,6.615765571594238
2000-10-09,6.615765571594238
2000-10-10,6.602915287017822
2000-10-11,6.500146865844727
2000-10-12,6.410223484039307
2000-10-13,6.506572246551514
2000-10-16,6.545108795166016
2000-10-17,6.631819725036621
2000-10-18,6.577224254608154
2000-10-19,6.545108795166016
2000-10-20,6.509785175323486
2000-10-23,6.6478776931762695
2000-10-24,6.618973731994629
2000-10-25,6.577224254608154
2000-10-26,6.55474328994751
2000-10-27,6.7056884765625
2000-10-30,6.965821743011475
2000-10-31,7.020413398742676
2000-11-01,6.978670120239258
2000-11-02,6.981877326965332
2000-11-03,6.949760913848877
2000-11-06,6.9176435470581055
2000-11-07,6.92728328704834
2000-11-08,6.9626078605651855
2000-11-09,7.001148223876953
2000-11-10,7.013993263244629
2000-11-13,7.046109199523926
2000-11-14,6.924068450927734
2000-11-15,6.9176435470581055
2000-11-16,6.997934818267822
2000-11-17,6.891952991485596
2000-11-20,6.95939826965332
2000-11-21,6.891952991485596
2000-11-22,6.943340301513672
2000-11-24,6.930493354797363
2000-11-27,6.882317543029785
2000-11-28,6.981877326965332
2000-11-29,7.026839256286621
2000-11-30,7.017205238342285
2000-12-01,6.882317543029785
2000-12-04,6.956185340881348
2000-12-05,7.001148223876953
2000-12-06,7.026839256286621
2000-12-07,7.023626327514648
2000-12-08,6.853418350219727
2000-12-11,6.872684955596924
2000-12-12,6.891952991485596
2000-12-13,7.0621657371521
2000-12-14,7.020413398742676
2000-12-15,6.959716320037842
2000-12-18,6.947517395019531
2000-12-19,6.706374168395996
2000-12-20,6.644459247589111
2000-12-21,6.605358123779297
2000-12-22,6.7096333503723145
2000-12-26,6.898638725280762
2000-12-27,6.898638725280762
2000-12-28,6.8432393074035645
2000-12-29,6.921450614929199
2001-01-02,6.817170143127441
2001-01-03,6.6737895011901855
2001-01-04,6.5695085525512695
2001-01-05,6.504335880279541
2001-01-08,6.6020989418029785
2001-01-09,6.631425857543945
2001-01-10,6.615136623382568
2001-01-11,6.461975574493408
2001-01-12,6.5108537673950195
2001-01-16,6.406577110290527
2001-01-17,6.422868251800537
2001-01-18,6.536925792694092
2001-01-19,6.517368793487549
2001-01-22,6.504335880279541
2001-01-23,6.497818946838379
2001-01-24,6.507599353790283
2001-01-25,6.553215980529785
2001-01-26,6.491302967071533
2001-01-29,6.5924530029296875
2001-01-30,6.5924530029296875
2001-01-31,6.531971454620361
2001-02-01,6.6112213134765625
2001-02-02,6.538230895996094
2001-02-05,6.586193084716797
2001-02-06,6.625822067260742
2001-02-07,6.627908706665039
2001-02-08,6.686304092407227
2001-02-09,6.677960395812988
2001-02-12,6.684216499328613
2001-02-13,6.740528583526611
2001-02-14,6.627908706665039
2001-02-15,6.638333320617676
2001-02-16,6.675871849060059
2001-02-20,6.707157611846924
2001-02-21,6.627908706665039
2001-02-22,6.698812007904053
2001-02-23,6.661275863647461
2001-02-26,6.736356258392334
2001-02-27,6.7446980476379395
2001-02-28,6.667532920837402
2001-03-01,6.59453821182251
2001-03-02,6.6112213134765625
2001-03-05,6.598708629608154
2001-03-06,6.590365886688232
2001-03-07,6.559081077575684
2001-03-08,6.682132244110107
2001-03-09,6.565340995788574
2001-03-12,6.640419960021973
2001-03-13,6.486088752746582
2001-03-14,6.262933254241943
2001-03-15,6.373470306396484
2001-03-16,6.322009086608887
2001-03-19,6.4018235206604
2001-03-20,6.309408664703369
2001-03-21,6.168684005737305
2001-03-22,6.090972423553467
2001-03-23,6.080469131469727
2001-03-26,6.282104969024658
2001-03-27,6.5131402015686035
2001-03-28,6.3745198249816895
2001-03-29,6.523641586303711
2001-03-30,6.5719499588012695
2001-04-02,6.592955589294434
2001-04-03,6.561448574066162
2001-04-04,6.586647987365723
2001-04-05,6.542547702789307
2001-04-06,6.420724868774414
2001-04-09,6.561448574066162
2001-04-10,6.697969436645508
2001-04-11,6.607654094696045
2001-04-12,6.603454113006592
2001-04-16,6.708472728729248
2001-04-17,6.863898277282715
2001-04-18,6.721073150634766
2001-04-19,6.733678340911865
2001-04-20,6.653863430023193
2001-04-23,6.6685614585876465
2001-04-24,6.700069427490234
2001-04-25,6.817690372467041
2001-04-26,6.878600120544434
2001-04-27,6.882801055908203
2001-04-30,6.889101505279541
2001-05-01,6.954212188720703
2001-05-02,6.866000175476074
2001-05-03,6.7777814865112305
2001-05-04,6.8470940589904785
2001-05-07,6.882801055908203
2001-05-08,6.784084796905518
2001-05-09,6.794584274291992
2001-05-10,6.798788547515869
2001-05-11,6.8029890060424805
2001-05-14,6.893300533294678
2001-05-15,6.8470940589904785
2001-05-16,6.994115829467773
2001-05-17,6.952113151550293
2001-05-18,6.994115829467773
2001-05-21,7.019322395324707
2001-05-22,6.994115829467773
2001-05-23,6.992015361785889
2001-05-24,6.97311544418335
2001-05-25,6.863898277282715
2001-05-29,6.859696388244629
2001-05-30,6.830292701721191
2001-05-31,6.937406063079834
2001-06-01,6.878600120544434
2001-06-04,6.882801055908203
2001-06-05,6.781982421875
2001-06-06,6.727374076843262
2001-06-07,6.670663356781006
2001-06-08,6.695869445800781
2001-06-11,6.758878231048584
2001-06-12,6.817690372467041
2001-06-13,6.676969528198242
2001-06-14,6.479533672332764
2001-06-15,6.5195159912109375
2001-06-18,6.527978420257568
2001-06-19,6.553360939025879
2001-06-20,6.57028341293335
2001-06-21,6.39893913269043
2001-06-22,6.470860958099365
2001-06-25,6.394708633422852
2001-06-26,6.489896774291992
2001-06-27,6.504706382751465
2001-06-28,6.5195159912109375
2001-06-29,6.589323043823242
2001-07-02,6.608360767364502
2001-07-03,6.625284671783447
2001-07-05,6.6802825927734375
2001-07-06,6.673936367034912
2001-07-09,6.735282897949219
2001-07-10,6.745860576629639
2001-07-11,6.777587413787842
2001-07-12,6.707780838012695
2001-07-13,6.690861701965332
2001-07-16,6.73739767074585
2001-07-17,6.747972011566162
2001-07-18,6.678167819976807
2001-07-19,6.720475196838379
2001-07-20,6.578742504119873
2001-07-23,6.39893913269043
2001-07-24,6.214905738830566
2001-07-25,6.489896774291992
2001-07-26,6.513171195983887
2001-07-27,6.508937358856201
2001-07-30,6.5829758644104
2001-07-31,6.530092239379883
2001-08-01,6.606241703033447
2001-08-02,6.595669746398926
2001-08-03,6.576629161834717
2001-08-06,6.449709892272949
2001-08-07,6.500478744506836
2001-08-08,6.371441841125488
2001-08-09,6.382014751434326
