date,XLK
2000-01-03,20.626388549804688
2000-01-04,19.579954147338867
2000-01-05,19.289281845092773
2000-01-06,18.64978790283203
2000-01-07,18.975345611572266
2000-01-10,19.69622039794922
2000-01-11,19.138120651245117
2000-01-12,19.056739807128906
2000-01-13,19.231142044067383
2000-01-14,19.672971725463867
2000-01-18,19.777612686157227
2000-01-19,19.8124942779541
2000-01-20,19.92876434326172
2000-01-21,19.952014923095703
2000-01-24,19.300893783569336
2000-01-25,19.713659286499023
2000-01-26,19.068359375
2000-01-27,18.882335662841797
2000-01-28,18.207963943481445
2000-01-31,18.81256675720215
2000-02-01,19.207883834838867
2000-02-02,19.347408294677734
2000-02-03,19.905508041381836
2000-02-04,20.13804817199707
2000-02-07,20.37059211730957
2000-02-08,20.556617736816406
2000-02-09,20.300827026367188
2000-02-10,20.783344268798828
2000-02-11,20.23106575012207
2000-02-14,20.242692947387695
2000-02-15,20.300827026367188
2000-02-16,20.196184158325195
2000-02-17,20.649642944335938
2000-02-18,19.952014923095703
2000-02-22,19.905508041381836
2000-02-23,20.51011848449707
2000-02-24,20.765914916992188
2000-02-25,20.5682430267334
2000-02-28,20.324077606201172
2000-02-29,20.789161682128906
2000-03-01,20.998458862304688
2000-03-02,21.207733154296875
2000-03-03,21.794898986816406
2000-03-06,21.760026931762695
2000-03-07,21.16124153137207
2000-03-08,21.53330421447754
2000-03-09,22.18441390991211
2000-03-10,22.230918884277344
2000-03-13,21.905359268188477
2000-03-14,21.405399322509766
2000-03-15,21.033340454101562
2000-03-16,21.76583480834961
2000-03-17,22.277433395385742
2000-03-20,22.18441390991211
2000-03-21,22.765769958496094
2000-03-22,23.161087036132812
2000-03-23,23.60291290283203
2000-03-24,23.806386947631836
2000-03-27,23.998226165771484
2000-03-28,23.416879653930664
2000-03-29,22.730878829956055
2000-03-30,22.114648818969727
2000-03-31,22.533222198486328
2000-04-03,21.579803466796875
2000-04-04,21.370521545410156
2000-04-05,21.510034561157227
2000-04-06,21.789094924926758
2000-04-07,22.533222198486328
2000-04-10,21.71932601928711
2000-04-11,21.184484481811523
2000-04-12,19.8124942779541
2000-04-13,19.434614181518555
2000-04-14,18.417253494262695
2000-04-17,19.417173385620117
2000-04-18,20.521738052368164
2000-04-19,19.847375869750977
2000-04-20,19.672971725463867
2000-04-24,19.068359375
2000-04-25,20.172924041748047
2000-04-26,19.78923797607422
2000-04-27,20.40547752380371
2000-04-28,20.463607788085938
2000-05-01,20.754281997680664
2000-05-02,20.37059211730957
2000-05-03,19.4869327545166
2000-05-04,19.347408294677734
2000-05-05,19.876445770263672
2000-05-08,19.173011779785156
2000-05-09,18.818378448486328
2000-05-10,17.905654907226562
2000-05-11,18.411434173583984
2000-05-12,18.64978790283203
2000-05-15,18.998594284057617
2000-05-16,19.56833267211914
2000-05-17,19.289281845092773
2000-05-18,18.800935745239258
2000-05-19,18.068431854248047
2000-05-22,17.987045288085938
2000-05-23,17.115018844604492
2000-05-24,17.789390563964844
2000-05-25,17.49870491027832
2000-05-26,17.556840896606445
2000-05-30,18.696287155151367
2000-05-31,18.335851669311523
2000-06-01,19.1613712310791
2000-06-02,20.033403396606445
2000-06-05,20.09153938293457
2000-06-06,19.8124942779541
2000-06-07,20.184558868408203
2000-06-08,20.09153938293457
2000-06-09,20.13804817199707
2000-06-12,19.71947479248047
2000-06-13,20.13804817199707
2000-06-14,19.76598358154297
2000-06-15,20.161314010620117
2000-06-16,20.23106575012207
2000-06-19,20.870546340942383
2000-06-20,20.928686141967773
2000-06-21,21.11471939086914
2000-06-22,20.463607788085938
2000-06-23,20.027587890625
2000-06-26,20.161314010620117
2000-06-27,19.963647842407227
2000-06-28,20.161314010620117
2000-06-29,19.76598358154297
2000-06-30,20.161314010620117
2000-07-03,20.300827026367188
2000-07-05,19.64971923828125
2000-07-06,19.952014923095703
2000-07-07,20.27756690979004
2000-07-10,20.056663513183594
2000-07-11,19.893878936767578
2000-07-12,20.40547752380371
2000-07-13,20.800796508789062
2000-07-14,21.184484481811523
2000-07-17,21.358888626098633
2000-07-18,20.928686141967773
2000-07-19,20.463607788085938
2000-07-20,20.893802642822266
2000-07-21,20.44035530090332
2000-07-24,19.94038963317871
2000-07-25,20.27756690979004
2000-07-26,20.010154724121094
2000-07-27,19.428808212280273
2000-07-28,18.70792007446289
2000-07-31,19.091623306274414
2000-08-01,18.87069320678711
2000-08-02,18.789304733276367
2000-08-03,19.149747848510742
2000-08-04,19.149747848510742
2000-08-07,19.545076370239258
2000-08-08,19.579954147338867
2000-08-09,19.64971923828125
2000-08-10,19.231142044067383
2000-08-11,19.300893783569336
2000-08-14,19.69622039794922
2000-08-15,19.74273109436035
2000-08-16,19.76598358154297
2000-08-17,20.13804817199707
2000-08-18,20.161314010620117
2000-08-21,20.254322052001953
2000-08-22,20.254322052001953
2000-08-23,20.451982498168945
2000-08-24,20.643823623657227
2000-08-25,20.57406997680664
2000-08-28,20.74265480041504
2000-08-29,20.765914916992188
2000-08-30,20.626388549804688
2000-08-31,21.033340454101562
2000-09-01,21.044960021972656
2000-09-05,20.5682430267334
2000-09-06,20.045028686523438
2000-09-07,20.37059211730957
2000-09-08,19.71947479248047
2000-09-11,19.207883834838867
2000-09-12,18.9288387298584
2000-09-13,19.114871978759766
2000-09-14,19.219512939453125
2000-09-15,18.888141632080078
2000-09-18,18.463756561279297
2000-09-19,19.18463897705078
2000-09-20,19.25439453125
2000-09-21,18.859073638916016
2000-09-22,18.324234008789062
2000-09-25,17.940536499023438
2000-09-26,17.56264877319336
2000-09-27,17.44057846069336
2000-09-28,18.04518699645996
2000-09-29,17.25454330444336
2000-10-02,17.12664031982422
2000-10-03,16.673187255859375
2000-10-04,17.120834350585938
2000-10-05,16.87666130065918
2000-10-06,16.52784538269043
2000-10-09,16.43483543395996
2000-10-10,15.952315330505371
2000-10-11,15.44072151184082
2000-10-12,14.905872344970703
2000-10-13,16.16160011291504
2000-10-16,15.90580940246582
2000-10-17,15.48723316192627
2000-10-18,15.243072509765625
2000-10-19,16.597612380981445
2000-10-20,16.84760284423828
2000-10-23,16.742950439453125
2000-10-24,16.41739273071289
2000-10-25,15.260504722595215
2000-10-26,15.626749992370605
2000-10-27,15.760457992553711
2000-10-30,15.545368194580078
2000-10-31,16.2662410736084
2000-11-01,15.952315330505371
2000-11-02,16.365068435668945
2000-11-03,16.487154006958008
2000-11-06,16.231361389160156
2000-11-07,16.347633361816406
2000-11-08,15.48723316192627
2000-11-09,15.260504722595215
2000-11-10,14.417542457580566
2000-11-13,14.371030807495117
2000-11-14,15.150045394897461
2000-11-15,15.25468635559082
2000-11-16,14.766358375549316
2000-11-17,14.882614135742188
2000-11-20,14.2780179977417
2000-11-21,14.347783088684082
2000-11-22,13.82456111907959
2000-11-24,14.371030807495117
2000-11-27,14.28963851928711
2000-11-28,13.714102745056152
2000-11-29,13.650161743164062
2000-11-30,12.929275512695312
2000-12-01,13.097871780395508
2000-12-04,13.022296905517578
2000-12-05,14.254759788513184
2000-12-06,13.85944652557373
2000-12-07,13.400177955627441
2000-12-08,14.022224426269531
2000-12-11,14.551258087158203
2000-12-12,14.254759788513184
2000-12-13,13.650161743164062
2000-12-14,13.440871238708496
2000-12-15,12.906027793884277
2000-12-18,12.650226593017578
2000-12-19,12.278165817260742
2000-12-20,11.359630584716797
2000-12-21,11.39450740814209
2000-12-22,12.179332733154297
2000-12-26,11.975858688354492
2000-12-27,12.092132568359375
2000-12-28,12.033995628356934
2000-12-29,11.65030574798584
2001-01-02,10.975935935974121
2001-01-03,12.743244171142578
2001-01-04,12.871145248413086
2001-01-05,12.092132568359375
2001-01-08,12.057252883911133
2001-01-09,12.32466983795166
2001-01-10,12.696737289428711
2001-01-11,13.231584548950195
2001-01-12,13.033923149108887
2001-01-16,12.88277530670166
2001-01-17,13.278090476989746
2001-01-18,13.975716590881348
2001-01-19,14.167558670043945
2001-01-22,13.905948638916016
2001-01-23,14.138493537902832
2001-01-24,14.312899589538574
2001-01-25,13.81294059753418
2001-01-26,13.905948638916016
2001-01-29,14.198027610778809
2001-01-30,14.2315034866333
2001-01-31,13.878043174743652
2001-02-01,13.87060546875
2001-02-02,13.260415077209473
2001-02-05,13.178564071655273
2001-02-06,13.256694793701172
2001-02-07,12.914396286010742
2001-02-08,12.724644660949707
2001-02-09,12.136778831481934
2001-02-12,12.240962982177734
2001-02-13,12.032602310180664
2001-02-14,12.31536865234375
2001-02-15,12.6874361038208
2001-02-16,11.902377128601074
2001-02-20,11.262423515319824
2001-02-21,10.975935935974121
2001-02-22,10.994539260864258
2001-02-23,10.91268539428711
2001-02-26,11.087555885314941
2001-02-27,10.663399696350098
2001-02-28,10.421553611755371
2001-03-01,10.715492248535156
2001-03-02,10.343424797058105
2001-03-05,10.566664695739746
2001-03-06,11.013140678405762
2001-03-07,11.028023719787598
2001-03-08,10.808509826660156
2001-03-09,10.101583480834961
2001-03-12,9.562088012695312
2001-03-13,10.038325309753418
2001-03-14,9.792764663696289
2001-03-15,9.67742919921875
2001-03-16,9.46534538269043
2001-03-19,9.759278297424316
2001-03-20,9.29047679901123
2001-03-21,9.335125923156738
2001-03-22,9.7629976272583
2001-03-23,9.971357345581055
2001-03-26,9.841134071350098
2001-03-27,10.157393455505371
2001-03-28,9.4058198928833
2001-03-29,9.283038139343262
2001-03-30,9.227227210998535
2001-04-02,9.003987312316895
2001-04-03,8.401243209838867
2001-04-04,8.241250991821289
2001-04-05,9.111889839172363
2001-04-06,8.687731742858887
2001-04-09,8.710057258605957
2001-04-10,9.294197082519531
2001-04-11,9.63277530670166
2001-04-12,9.874619483947754
2001-04-16,9.63650131225586
2001-04-17,9.736958503723145
2001-04-18,10.622471809387207
