date,VEU
2007-03-08,29.86482810974121
2007-03-09,30.0640869140625
2007-03-12,30.20473861694336
2007-03-13,29.413576126098633
2007-03-14,29.44873809814453
2007-03-15,29.694873809814453
2007-03-16,29.753490447998047
2007-03-19,30.1051082611084
2007-03-20,30.327800750732422
2007-03-21,30.978309631347656
2007-03-22,30.943161010742188
2007-03-23,31.054494857788086
2007-03-26,31.019344329833984
2007-03-27,30.884552001953125
2007-03-28,30.538785934448242
2007-03-29,30.91971778869629
2007-03-30,30.896265029907227
2007-04-02,31.07209014892578
2007-04-03,31.3944034576416
2007-04-04,31.558496475219727
2007-04-05,31.716732025146484
2007-04-09,31.763608932495117
2007-04-10,31.904268264770508
2007-04-11,31.775339126586914
2007-04-12,31.951160430908203
2007-04-13,32.080081939697266
2007-04-16,32.56063461303711
2007-04-17,32.37895965576172
2007-04-18,32.35552215576172
2007-04-19,32.16798400878906
2007-04-20,32.52547836303711
2007-04-23,32.32621383666992
2007-04-24,32.261756896972656
2007-04-25,32.589927673339844
2007-04-26,32.40240478515625
2007-04-27,32.496185302734375
2007-04-30,32.1152458190918
2007-05-01,32.13867950439453
2007-05-02,32.461002349853516
2007-05-03,32.566497802734375
2007-05-04,32.82435607910156
2007-05-07,32.91811752319336
2007-05-08,32.61922836303711
2007-05-09,32.853660583496094
2007-05-10,32.23244857788086
2007-05-11,33.11151885986328
2007-05-14,32.6719856262207
2007-05-15,32.61338424682617
2007-05-16,32.830223083496094
2007-05-17,32.754032135009766
2007-05-18,33.11151885986328
2007-05-21,32.81850051879883
2007-05-22,32.8653678894043
2007-05-23,33.05878448486328
2007-05-24,32.61338424682617
2007-05-25,32.953277587890625
2007-05-29,32.853660583496094
2007-05-30,33.01189041137695
2007-05-31,33.18184280395508
2007-06-01,33.50416946411133
2007-06-04,33.568641662597656
2007-06-05,33.36936569213867
2007-06-06,32.90054702758789
2007-06-07,32.32035827636719
2007-06-08,32.80677795410156
2007-06-11,32.853660583496094
2007-06-12,32.34965133666992
2007-06-13,32.7950553894043
2007-06-14,33.035343170166016
2007-06-15,33.50416946411133
2007-06-18,33.55690002441406
2007-06-19,33.53347396850586
2007-06-20,33.246299743652344
2007-06-21,33.57448959350586
2007-06-22,33.070499420166016
2007-06-25,32.95915222167969
2007-06-26,32.941551208496094
2007-06-27,33.17597961425781
2007-06-28,33.17597961425781
2007-06-29,33.404541015625
2007-07-02,33.65066909790039
2007-07-03,34.02574920654297
2007-07-05,33.98473358154297
2007-07-06,34.21914291381836
2007-07-09,34.44769287109375
2007-07-10,33.97300720214844
2007-07-11,34.254302978515625
2007-07-12,34.89311981201172
2007-07-13,34.87551498413086
2007-07-16,34.75244903564453
2007-07-17,34.822750091552734
2007-07-18,34.570762634277344
2007-07-19,34.822750091552734
2007-07-20,34.45356369018555
2007-07-23,34.89895248413086
2007-07-24,34.33048629760742
2007-07-25,34.16053771972656
2007-07-26,33.01189041137695
2007-07-27,33.25803756713867
2007-07-30,33.18184280395508
2007-07-31,33.01774978637695
2007-08-01,33.035343170166016
2007-08-02,33.02946853637695
2007-08-03,32.23244857788086
2007-08-06,32.830223083496094
2007-08-07,32.871246337890625
2007-08-08,33.4279899597168
2007-08-09,32.261756896972656
2007-08-10,31.998029708862305
2007-08-13,31.939430236816406
2007-08-14,31.558496475219727
2007-08-15,30.77320671081543
2007-08-16,30.33366584777832
2007-08-17,31.107255935668945
2007-08-20,31.183427810668945
2007-08-21,31.00174903869629
2007-08-22,31.892549514770508
2007-08-23,32.009735107421875
2007-08-24,32.56063461303711
2007-08-27,32.37309646606445
2007-08-28,31.505746841430664
2007-08-29,32.41999053955078
2007-08-30,32.19143295288086
2007-08-31,32.953277587890625
2007-09-04,33.187705993652344
2007-09-05,32.595802307128906
2007-09-06,32.85951614379883
2007-09-07,32.337928771972656
2007-09-10,32.337928771972656
2007-09-11,32.853660583496094
2007-09-12,32.87710189819336
2007-09-13,33.08806610107422
2007-09-14,32.93569564819336
2007-09-17,32.57822036743164
2007-09-18,33.84407424926758
2007-09-19,33.949562072753906
2007-09-20,33.98473358154297
2007-09-21,34.201568603515625
2007-09-24,34.29531478881836
2007-09-25,34.32462692260742
2007-09-26,34.34807205200195
2007-09-27,34.957550048828125
2007-09-28,34.980995178222656
2007-10-01,35.584625244140625
2007-10-02,35.57291030883789
2007-10-03,35.309181213378906
2007-10-04,35.385372161865234
2007-10-05,35.98900604248047
2007-10-08,35.64323043823242
2007-10-09,36.106201171875
2007-10-10,35.924537658691406
2007-10-11,35.90694808959961
2007-10-12,36.258575439453125
2007-10-15,36.030025482177734
2007-10-16,35.485008239746094
2007-10-17,35.87765884399414
2007-10-18,36.071044921875
2007-10-19,35.186119079589844
2007-10-22,35.16266632080078
2007-10-23,35.73698043823242
2007-10-24,35.73698043823242
2007-10-25,35.690120697021484
2007-10-26,36.50471878051758
2007-10-29,36.96768569946289
2007-10-30,36.65122985839844
2007-10-31,37.207969665527344
2007-11-01,36.33476257324219
2007-11-02,36.44025421142578
2007-11-05,35.865928649902344
2007-11-06,36.6570930480957
2007-11-07,35.79560852050781
2007-11-08,35.93626022338867
2007-11-09,35.19197463989258
2007-11-12,34.18398666381836
2007-11-13,35.4615364074707
2007-11-14,35.32089614868164
2007-11-15,34.541465759277344
2007-11-16,34.89895248413086
2007-11-19,33.9671516418457
2007-11-20,34.488731384277344
2007-11-21,33.69169998168945
2007-11-23,34.535614013671875
2007-11-26,33.820640563964844
2007-11-27,34.50631332397461
2007-11-28,35.33848190307617
2007-11-29,35.34434509277344
2007-11-30,35.36191940307617
2007-12-03,35.244712829589844
2007-12-04,35.02202224731445
2007-12-05,35.690120697021484
2007-12-06,36.129638671875
2007-12-07,35.865928649902344
2007-12-10,36.20581817626953
2007-12-11,35.26230239868164
2007-12-12,35.78388214111328
2007-12-13,35.23885726928711
2007-12-14,34.40082550048828
2007-12-17,33.69169998168945
2007-12-18,33.84992980957031
2007-12-19,33.75618362426758
2007-12-20,33.89095687866211
2007-12-21,34.459415435791016
2007-12-24,34.831844329833984
2007-12-26,34.90870666503906
2007-12-27,34.619049072265625
2007-12-28,34.950096130371094
2007-12-31,34.64859390258789
2008-01-02,34.524452209472656
2008-01-03,34.60129928588867
2008-01-04,33.62586975097656
2008-01-07,33.66133499145508
2008-01-08,33.750003814697266
2008-01-09,33.99830627441406
2008-01-10,34.08698654174805
2008-01-11,33.49581527709961
2008-01-14,33.8327751159668
2008-01-15,32.821876525878906
2008-01-16,32.05924606323242
2008-01-17,31.40896987915039
2008-01-18,31.621795654296875
2008-01-22,30.622713088989258
2008-01-23,30.782316207885742
2008-01-24,31.202056884765625
2008-01-25,30.740942001342773
2008-01-28,31.50946807861328
2008-01-29,31.775489807128906
2008-01-30,31.5272159576416
2008-01-31,31.96466827392578
2008-02-01,32.39033508300781
2008-02-04,32.21887969970703
2008-02-05,30.82370948791504
2008-02-06,30.72321319580078
2008-02-07,30.711381912231445
2008-02-08,30.545852661132812
2008-02-11,30.746862411499023
2008-02-12,31.10747528076172
2008-02-13,31.51538848876953
2008-02-14,31.27891731262207
2008-02-15,31.31438636779785
2008-02-19,31.645450592041016
2008-02-20,31.669082641601562
2008-02-21,31.627702713012695
2008-02-22,31.982404708862305
2008-02-25,32.50263977050781
2008-02-26,33.02879333496094
2008-02-27,33.07607650756836
2008-02-28,32.80413818359375
2008-02-29,31.893735885620117
2008-03-03,31.935115814208984
2008-03-04,31.5272159576416
2008-03-05,31.952848434448242
2008-03-06,31.474010467529297
2008-03-07,31.125211715698242
2008-03-10,30.752771377563477
2008-03-11,31.982404708862305
2008-03-12,31.7222900390625
2008-03-13,31.728206634521484
2008-03-14,31.083833694458008
2008-03-17,30.43353271484375
2008-03-18,31.556766510009766
2008-03-19,30.208900451660156
2008-03-20,30.403968811035156
2008-03-24,31.42671012878418
2008-03-25,31.7636775970459
2008-03-26,31.657270431518555
2008-03-27,31.609968185424805
2008-03-28,31.716386795043945
2008-03-31,31.864179611206055
2008-04-01,32.79232406616211
2008-04-02,32.951927185058594
2008-04-03,33.04652786254883
2008-04-04,33.02879333496094
2008-04-07,33.14700698852539
2008-04-08,32.987396240234375
2008-04-09,32.60905456542969
2008-04-10,32.685909271240234
2008-04-11,32.20705032348633
2008-04-14,32.2484245300293
2008-04-15,32.47899627685547
2008-04-16,33.57856750488281
2008-04-17,33.36574935913086
2008-04-18,33.55491638183594
2008-04-21,33.54903030395508
2008-04-22,33.51946258544922
2008-04-23,33.55491638183594
2008-04-24,33.4603271484375
2008-04-25,33.655426025390625
2008-04-28,33.8327751159668
2008-04-29,33.41303634643555
2008-04-30,33.750003814697266
2008-05-01,33.99238586425781
2008-05-02,34.0928955078125
2008-05-05,34.187477111816406
2008-05-06,34.37665939331055
2008-05-07,33.87415313720703
2008-05-08,33.92146301269531
2008-05-09,33.73228454589844
2008-05-12,34.1224479675293
2008-05-13,34.02788162231445
2008-05-14,34.07514953613281
2008-05-15,34.65451431274414
2008-05-16,35.00921630859375
2008-05-19,35.12153244018555
2008-05-20,34.60129928588867
2008-05-21,34.34709548950195
2008-05-22,34.6722412109375
2008-05-23,34.10472106933594
2008-05-27,34.110633850097656
2008-05-28,33.96282958984375
2008-05-29,34.258426666259766
2008-05-30,34.22886657714844
2008-06-02,34.03968811035156
2008-06-03,33.81504821777344
2008-06-04,33.37166213989258
2008-06-05,34.19930648803711
2008-06-06,33.24160385131836
2008-06-09,33.19431686401367
2008-06-10,32.63269805908203
2008-06-11,32.18931579589844
2008-06-12,32.18931579589844
2008-06-13,32.25436019897461
2008-06-16,32.6031494140625
2008-06-17,32.75093460083008
2008-06-18,32.45534896850586
2008-06-19,32.45534896850586
2008-06-20,31.556766510009766
2008-06-23,31.627702713012695
2008-06-24,31.125211715698242
2008-06-25,31.58041000366211
2008-06-26,31.11338233947754
2008-06-27,31.17251205444336
2008-06-30,31.361669540405273
2008-07-01,30.94785499572754
2008-07-02,30.534034729003906
2008-07-03,30.50447654724121
2008-07-07,30.28573989868164
2008-07-08,30.474924087524414
2008-07-09,30.001981735229492
2008-07-10,30.315305709838867
2008-07-11,29.883750915527344
2008-07-14,29.883750915527344
2008-07-15,29.36942481994629
2008-07-16,29.972412109375
2008-07-17,30.268014907836914
2008-07-18,30.32712745666504
2008-07-21,30.622713088989258
2008-07-22,30.740942001342773
2008-07-23,30.859188079833984
2008-07-24,30.238462448120117
2008-07-25,30.238462448120117
2008-07-28,29.735958099365234
2008-07-29,30.143871307373047
2008-07-30,30.563602447509766
2008-07-31,30.208900451660156
2008-08-01,29.895572662353516
2008-08-04,29.41672706604004
2008-08-05,30.043354034423828
2008-08-06,30.120222091674805
2008-08-07,29.505395889282227
2008-08-08,29.481760025024414
2008-08-11,29.49948501586914
2008-08-12,29.203903198242188
2008-08-13,28.90831184387207
2008-08-14,28.819644927978516
2008-08-15,28.52996826171875
2008-08-18,28.228466033935547
2008-08-19,28.05111312866211
2008-08-20,28.328969955444336
2008-08-21,28.49449348449707
2008-08-22,28.55361557006836
2008-08-25,28.14569854736328
2008-08-26,28.139789581298828
2008-08-27,28.50631332397461
2008-08-28,28.760530471801758
2008-08-29,28.665937423706055
2008-09-02,28.19891357421875
2008-09-03,27.980182647705078
2008-09-04,26.75644874572754
2008-09-05,26.8273868560791
2008-09-08,27.19391441345215
2008-09-09,26.395828247070312
2008-09-10,26.590925216674805
2008-09-11,26.590925216674805
2008-09-12,27.111154556274414
2008-09-15,25.627317428588867
2008-09-16,25.76327133178711
2008-09-17,24.586841583251953
2008-09-18,25.76327133178711
2008-09-19,27.861936569213867
2008-09-22,27.690500259399414
2008-09-23,26.555456161499023
2008-09-24,26.472686767578125
2008-09-25,26.921966552734375
2008-09-26,26.679595947265625
2008-09-29,23.942474365234375
2008-09-30,25.089351654052734
2008-10-01,25.166196823120117
2008-10-02,23.73555564880371
2008-10-03,23.46953010559082
2008-10-06,21.826068878173828
2008-10-07,21.205337524414062
2008-10-08,20.702842712402344
2008-10-09,19.449562072753906
2008-10-10,19.2189998626709
2008-10-13,21.83198356628418
2008-10-14,21.3826904296875
2008-10-15,18.917512893676758
2008-10-16,19.79244613647461
2008-10-17,19.461389541625977
2008-10-20,20.430906295776367
2008-10-21,19.50868034362793
2008-10-22,17.9361629486084
2008-10-23,18.137161254882812
2008-10-24,17.084869384765625
2008-10-27,16.08579444885254
2008-10-28,18.07804298400879
2008-10-29,18.5982723236084
2008-10-30,19.301769256591797
2008-10-31,19.378618240356445
2008-11-03,19.41408920288086
2008-11-04,20.797435760498047
2008-11-05,19.721498489379883
2008-11-06,18.279037475585938
2008-11-07,19.455476760864258
2008-11-10,19.289947509765625
2008-11-11,18.462308883666992
2008-11-12,17.398197174072266
2008-11-13,19.065303802490234
2008-11-14,17.877042770385742
2008-11-17,17.510517120361328
2008-11-18,17.445493698120117
2008-11-19,16.363643646240234
2008-11-20,15.157652854919434
2008-11-21,16.434581756591797
