date,XLRE
2015-10-08,21.044124603271484
2015-10-09,21.009292602539062
2015-10-12,21.14164161682129
2015-10-13,21.009292602539062
2015-10-14,21.009292602539062
2015-10-15,20.946609497070312
2015-10-16,21.345054626464844
2015-10-19,21.594432830810547
2015-10-20,21.615333557128906
2015-10-21,21.632749557495117
2015-10-22,21.906505584716797
2015-10-23,21.64319610595703
2015-10-26,21.67106056213379
2015-10-27,21.676637649536133
2015-10-28,21.597917556762695
2015-10-29,21.696136474609375
2015-10-30,21.55960464477539
2015-11-02,21.55960464477539
2015-11-03,21.838241577148438
2015-11-04,21.74768829345703
2015-11-05,21.664091110229492
2015-11-06,20.863014221191406
2015-11-09,20.695829391479492
2015-11-10,20.918743133544922
2015-11-11,20.991180419921875
2015-11-12,20.863014221191406
2015-11-13,20.591339111328125
2015-11-16,20.57044219970703
2015-11-17,20.890880584716797
2015-11-18,21.13816261291504
2015-11-19,21.253108978271484
2015-11-20,21.4272518157959
2015-11-23,21.538705825805664
2015-11-24,21.21131134033203
2015-11-25,21.21131134033203
2015-11-27,21.371524810791016
2015-11-30,21.4202823638916
2015-12-01,21.774860382080078
2015-12-02,21.329727172851562
2015-12-03,20.904802322387695
2015-12-04,21.329727172851562
2015-12-07,21.329727172851562
2015-12-08,21.39938735961914
2015-12-09,21.280969619750977
2015-12-10,21.10681915283203
2015-12-11,20.99397087097168
2015-12-14,21.058759689331055
2015-12-15,21.30187225341797
2015-12-16,21.684995651245117
2015-12-17,21.657129287719727
2015-12-18,21.375408172607422
2015-12-21,21.410625457763672
2015-12-22,21.60782814025879
2015-12-23,21.819120407104492
2015-12-24,21.840248107910156
2015-12-28,21.781789779663086
2015-12-29,22.143098831176758
2015-12-30,22.143098831176758
2015-12-31,21.962797164916992
2016-01-04,21.4528865814209
2016-01-05,22.102951049804688
2016-01-06,21.889545440673828
2016-01-07,21.488100051879883
2016-01-08,21.206378936767578
2016-01-11,21.33315658569336
2016-01-12,21.100732803344727
2016-01-13,20.88240623474121
2016-01-14,20.952831268310547
2016-01-15,20.600685119628906
2016-01-19,20.741540908813477
2016-01-20,20.185148239135742
2016-01-21,20.340087890625
2016-01-22,20.762670516967773
2016-01-25,20.762670516967773
2016-01-26,20.94719696044922
2016-01-27,20.762670516967773
2016-01-28,20.53729820251465
2016-01-29,20.558425903320312
2016-02-01,20.99509048461914
2016-02-02,20.727453231811523
2016-02-03,20.748580932617188
2016-02-04,20.873245239257812
2016-02-05,20.49363136291504
2016-02-08,19.40760612487793
2016-02-09,19.255474090576172
2016-02-10,19.66396713256836
2016-02-11,19.170963287353516
2016-02-12,19.361122131347656
2016-02-16,19.361122131347656
2016-02-17,19.96682357788086
2016-02-18,20.213327407836914
2016-02-19,20.185148239135742
2016-02-22,20.495040893554688
2016-02-23,20.38939666748047
2016-02-24,20.40629768371582
2016-02-25,20.53729820251465
2016-02-26,20.685197830200195
2016-02-29,20.657032012939453
2016-03-01,21.15003776550293
2016-03-02,21.382455825805664
2016-03-03,21.412038803100586
