date,XLF
2000-01-03,11.09090518951416
2000-01-04,10.606058120727539
2000-01-05,10.522723197937012
2000-01-06,10.984840393066406
2000-01-07,11.166659355163574
2000-01-10,10.969691276550293
2000-01-11,10.787875175476074
2000-01-12,10.999994277954102
2000-01-13,11.333325386047363
2000-01-14,11.598480224609375
2000-01-18,11.212118148803711
2000-01-19,11.174238204956055
2000-01-20,10.969691276550293
2000-01-21,10.833328247070312
2000-01-24,10.636356353759766
2000-01-25,10.749996185302734
2000-01-26,11.15151309967041
2000-01-27,11.272721290588379
2000-01-28,10.878782272338867
2000-01-31,11.181809425354004
2000-02-01,11.242416381835938
2000-02-02,11.128779411315918
2000-02-03,11.060602188110352
2000-02-04,10.946964263916016
2000-02-07,10.833328247070312
2000-02-08,10.954543113708496
2000-02-09,10.696961402893066
2000-02-10,10.401512145996094
2000-02-11,10.424236297607422
2000-02-14,10.51514720916748
2000-02-15,10.530296325683594
2000-02-16,10.310601234436035
2000-02-17,10.18181037902832
2000-02-18,9.818175315856934
2000-02-22,9.90908432006836
2000-02-23,9.87120532989502
2000-02-24,9.666665077209473
2000-02-25,9.606053352355957
2000-02-28,9.916659355163574
2000-02-29,9.984842300415039
2000-03-01,10.121207237243652
2000-03-02,10.060598373413086
2000-03-03,10.151512145996094
2000-03-06,10.05302619934082
2000-03-07,9.749993324279785
2000-03-08,9.63635540008545
2000-03-09,9.689387321472168
2000-03-10,9.719691276550293
2000-03-13,9.818175315856934
2000-03-14,9.780299186706543
2000-03-15,10.378782272338867
2000-03-16,11.272721290588379
2000-03-17,11.276062965393066
2000-03-20,11.0631685256958
2000-03-21,11.466150283813477
2000-03-22,11.5650053024292
2000-03-23,11.967992782592773
2000-03-24,12.104853630065918
2000-03-27,11.709471702575684
2000-03-28,11.800716400146484
2000-03-29,11.709471702575684
2000-03-30,11.732277870178223
2000-03-31,11.808316230773926
2000-04-03,12.378579139709473
2000-04-04,11.884346961975098
2000-04-05,11.793103218078613
2000-04-06,11.922375679016113
2000-04-07,11.679057121276855
2000-04-10,12.013611793518066
2000-04-11,12.165679931640625
2000-04-12,12.218905448913574
2000-04-13,11.899559020996094
2000-04-14,10.933906555175781
2000-04-17,11.025150299072266
2000-04-18,11.466150283813477
2000-04-19,11.314082145690918
2000-04-20,11.526982307434082
2000-04-24,11.800716400146484
2000-04-25,12.165679931640625
2000-04-26,11.922375679016113
2000-04-27,11.679057121276855
2000-04-28,11.922375679016113
2000-05-01,11.656248092651367
2000-05-02,11.542190551757812
2000-05-03,11.336894035339355
2000-05-04,11.162013053894043
2000-05-05,11.238049507141113
2000-05-08,11.45854663848877
2000-05-09,11.428138732910156
2000-05-10,11.123998641967773
2000-05-11,11.45854663848877
2000-05-12,11.587817192077637
2000-05-15,12.104853630065918
2000-05-16,12.036418914794922
2000-05-17,11.83112621307373
2000-05-18,11.983201026916504
2000-05-19,11.770295143127441
2000-05-22,11.922375679016113
2000-05-23,11.998401641845703
2000-05-24,12.150476455688477
2000-05-25,11.84632682800293
2000-05-26,11.800716400146484
2000-05-30,12.044026374816895
2000-05-31,12.188488006591797
2000-06-01,12.591489791870117
2000-06-02,13.10852336883545
2000-06-05,12.811984062194824
2000-06-06,12.530651092529297
2000-06-07,12.713132858276367
2000-06-08,12.500239372253418
2000-06-09,12.287344932556152
2000-06-12,12.393781661987305
2000-06-13,12.378579139709473
2000-06-14,12.591489791870117
2000-06-15,12.294941902160645
2000-06-16,11.719411849975586
2000-06-19,12.024608612060547
2000-06-20,11.8720064163208
2000-06-21,11.780450820922852
2000-06-22,11.772817611694336
2000-06-23,11.688895225524902
2000-06-26,11.8720064163208
2000-06-27,11.986455917358398
2000-06-28,11.89489459991455
2000-06-29,11.887260437011719
2000-06-30,11.597334861755371
2000-07-03,11.810965538024902
2000-07-05,11.94067668914795
2000-07-06,12.0322265625
2000-07-07,12.238234519958496
2000-07-10,12.268760681152344
2000-07-11,12.329798698425293
2000-07-12,12.505285263061523
2000-07-13,12.383203506469727
2000-07-14,12.589211463928223
2000-07-17,12.352681159973145
2000-07-18,12.375572204589844
2000-07-19,12.329798698425293
2000-07-20,12.642621994018555
2000-07-21,12.604469299316406
2000-07-24,12.680758476257324
2000-07-25,12.703661918640137
2000-07-26,12.642621994018555
2000-07-27,12.680758476257324
2000-07-28,12.406098365783691
2000-07-31,12.619732856750488
2000-08-01,12.703661918640137
2000-08-02,12.688393592834473
2000-08-03,13.024104118347168
2000-08-04,13.527668952941895
2000-08-07,13.565824508666992
2000-08-08,13.565824508666992
2000-08-09,13.474266052246094
2000-08-10,13.397971153259277
2000-08-11,13.603979110717773
2000-08-14,13.779464721679688
2000-08-15,13.527668952941895
2000-08-16,13.367457389831543
2000-08-17,13.54293441772461
2000-08-18,13.443745613098145
2000-08-21,13.550566673278809
2000-08-22,13.695533752441406
2000-08-23,13.520050048828125
2000-08-24,13.497161865234375
2000-08-25,13.31403923034668
2000-08-28,13.565824508666992
2000-08-29,13.42849349975586
2000-08-30,13.550566673278809
2000-08-31,13.901537895202637
2000-09-01,13.67264461517334
2000-09-05,13.840505599975586
2000-09-06,13.947319984436035
2000-09-07,13.83287525177002
2000-09-08,14.145692825317383
2000-09-11,14.428000450134277
2000-09-12,14.405112266540527
2000-09-13,14.313557624816895
2000-09-14,14.260133743286133
2000-09-15,14.02773666381836
2000-09-18,13.560906410217285
2000-09-19,13.851720809936523
2000-09-20,13.652746200561523
2000-09-21,13.499689102172852
2000-09-22,13.759888648986816
2000-09-25,13.981818199157715
2000-09-26,13.889986038208008
2000-09-27,13.897638320922852
2000-09-28,14.249671936035156
2000-09-29,14.20375919342041
2000-10-02,14.402726173400879
2000-10-03,14.387423515319824
2000-10-04,14.20375919342041
2000-10-05,14.341510772705078
2000-10-06,13.744576454162598
2000-10-09,13.530301094055176
2000-10-10,13.140005111694336
2000-10-11,13.162962913513184
2000-10-12,12.397669792175293
2000-10-13,13.040519714355469
2000-10-16,13.155313491821289
2000-10-17,12.795626640319824
2000-10-18,12.65022087097168
2000-10-19,13.247142791748047
2000-10-20,13.3007173538208
2000-10-23,13.078782081604004
2000-10-24,13.407858848571777
2000-10-25,13.484383583068848
2000-10-26,13.04817008972168
2000-10-27,13.476727485656738
2000-10-30,13.96651554107666
2000-10-31,14.081308364868164
2000-11-01,14.020081520080566
2000-11-02,14.088957786560059
2000-11-03,14.05069637298584
2000-11-06,14.24201488494873
2000-11-07,14.196094512939453
2000-11-08,13.94355583190918
2000-11-09,14.043039321899414
2000-11-10,13.889986038208008
2000-11-13,13.560906410217285
2000-11-14,13.63743782043457
2000-11-15,13.530301094055176
2000-11-16,13.484383583068848
2000-11-17,13.37724781036377
2000-11-20,12.979294776916504
2000-11-21,13.009906768798828
2000-11-22,12.696142196655273
2000-11-24,12.787971496582031
2000-11-27,12.963981628417969
2000-11-28,13.101738929748535
2000-11-29,13.423160552978516
2000-11-30,13.361943244934082
2000-12-01,13.285404205322266
2000-12-04,13.224189758300781
2000-12-05,13.775193214416504
2000-12-06,13.713973999023438
2000-12-07,13.744576454162598
2000-12-08,14.142534255981445
2000-12-11,14.25732421875
2000-12-12,14.088957786560059
2000-12-13,14.096617698669434
2000-12-14,13.691010475158691
2000-12-15,13.634105682373047
2000-12-18,14.033528327941895
2000-12-19,13.879904747009277
2000-12-20,13.749329566955566
2000-12-21,14.071935653686523
2000-12-22,14.187155723571777
2000-12-26,14.440634727478027
2000-12-27,14.532811164855957
2000-12-28,14.678751945495605
2000-12-29,14.50208568572998
2001-01-02,14.094975471496582
2001-01-03,14.85542106628418
2001-01-04,14.594258308410645
2001-01-05,14.28701400756836
2001-01-08,14.141064643859863
2001-01-09,13.902949333190918
2001-01-10,14.13338565826416
2001-01-11,14.164114952087402
2001-01-12,13.895269393920898
2001-01-16,14.141064643859863
2001-01-17,14.164114952087402
2001-01-18,13.956716537475586
2001-01-19,13.856864929199219
2001-01-22,14.1026611328125
2001-01-23,14.240921020507812
2001-01-24,14.32541561126709
2001-01-25,14.455991744995117
2001-01-26,14.509763717651367
2001-01-29,14.521739959716797
2001-01-30,14.649567604064941
2001-01-31,14.467679023742676
2001-02-01,14.487336158752441
2001-02-02,14.526663780212402
2001-02-05,14.624980926513672
2001-02-06,14.33985710144043
2001-02-07,14.305444717407227
2001-02-08,14.266117095947266
2001-02-09,14.32511043548584
2001-02-12,14.526663780212402
2001-02-13,14.443086624145508
2001-02-14,14.275948524475098
2001-02-15,14.275948524475098
2001-02-16,14.280869483947754
2001-02-20,13.754857063293457
2001-02-21,13.346832275390625
2001-02-22,13.440239906311035
2001-02-23,13.376328468322754
2001-02-26,13.671285629272461
2001-02-27,13.818765640258789
2001-02-28,13.494317054748535
2001-03-01,13.509060859680176
2001-03-02,13.528718948364258
2001-03-05,13.459901809692383
2001-03-06,13.499229431152344
2001-03-07,13.784351348876953
2001-03-08,13.8384370803833
2001-03-09,13.518895149230957
2001-03-12,12.855237007141113
2001-03-13,13.199352264404297
2001-03-14,12.589775085449219
2001-03-15,12.96829891204834
2001-03-16,12.799127578735352
2001-03-19,12.94709300994873
2001-03-20,12.58704662322998
2001-03-21,12.222058296203613
2001-03-22,11.906397819519043
2001-03-23,12.409485816955566
2001-03-26,12.606768608093262
2001-03-27,12.961889266967773
2001-03-28,12.892838478088379
2001-03-29,12.863250732421875
2001-03-30,13.090131759643555
2001-04-02,13.149322509765625
2001-04-03,12.705422401428223
2001-04-04,12.394684791564941
2001-04-05,12.848445892333984
2001-04-06,12.562383651733398
2001-04-09,12.55744457244873
2001-04-10,12.922428131103516
2001-04-11,13.030941009521484
2001-04-12,13.12959098815918
2001-04-16,13.035873413085938
2001-04-17,13.144387245178223
