date,XLE
2000-01-03,6.655915260314941
2000-01-04,6.5306291580200195
2000-01-05,6.702899932861328
2000-01-06,6.961307525634766
2000-01-07,7.035696029663086
2000-01-10,6.976967811584473
2000-01-11,6.984797477722168
2000-01-12,6.953475475311279
2000-01-13,7.074848651885986
2000-01-14,7.031782150268555
2000-01-18,7.117913722991943
2000-01-19,7.09442663192749
2000-01-20,7.09442663192749
2000-01-21,7.29018497467041
2000-01-24,7.031782150268555
2000-01-25,7.016119003295898
2000-01-26,6.906493663787842
2000-01-27,6.765545845031738
2000-01-28,6.687240123748779
2000-01-31,6.843852519989014
2000-02-01,6.828182697296143
2000-02-02,6.8712568283081055
2000-02-03,6.789037704467773
2000-02-04,6.593271255493164
2000-02-07,6.667661666870117
2000-02-08,6.608937740325928
2000-02-09,6.389677047729492
2000-02-10,6.522800922393799
2000-02-11,6.444492340087891
2000-02-14,6.546289443969727
2000-02-15,6.820357322692871
2000-02-16,6.8516764640808105
2000-02-17,6.843852519989014
2000-02-18,6.644172668457031
2000-02-22,6.585444450378418
2000-02-23,6.413174152374268
2000-02-24,6.3426995277404785
2000-02-25,6.217410087585449
2000-02-28,6.405343532562256
2000-02-29,6.554123878479004
2000-03-01,6.718560218811035
2000-03-02,6.843852519989014
2000-03-03,6.734220504760742
2000-03-06,6.695070266723633
2000-03-07,7.157070159912109
2000-03-08,7.039610385894775
2000-03-09,7.047441482543945
2000-03-10,6.953475475311279
2000-03-13,6.8516764640808105
2000-03-14,6.9378156661987305
2000-03-15,6.906493663787842
2000-03-16,7.204051971435547
2000-03-17,6.984630584716797
2000-03-20,6.874632358551025
2000-03-21,7.094619274139404
2000-03-22,7.039626121520996
2000-03-23,7.031768321990967
2000-03-24,7.047484397888184
2000-03-27,7.071050643920898
2000-03-28,7.039626121520996
2000-03-29,7.4088897705078125
2000-03-30,7.4088897705078125
2000-03-31,7.369605541229248
2000-04-03,7.495314598083496
2000-04-04,7.401035785675049
2000-04-05,7.181046962738037
2000-04-06,7.369605541229248
2000-04-07,7.2556867599487305
2000-04-10,7.149618625640869
2000-04-11,7.275329113006592
2000-04-12,7.338183403015137
2000-04-13,7.322471618652344
2000-04-14,7.165330410003662
2000-04-17,6.992485046386719
2000-04-18,7.0278425216674805
2000-04-19,7.181046962738037
2000-04-20,7.192831516265869
2000-04-24,7.2714009284973145
2000-04-25,7.283185005187988
2000-04-26,7.377460956573486
2000-04-27,7.47960090637207
2000-04-28,7.259612560272217
2000-05-01,7.377460956573486
2000-05-02,7.483530521392822
2000-05-03,7.291042804718018
2000-05-04,7.47960090637207
2000-05-05,7.558170318603516
2000-05-08,7.652448654174805
2000-05-09,7.656383037567139
2000-05-10,7.679948806762695
2000-05-11,7.919578552246094
2000-05-12,7.947071552276611
2000-05-15,8.112071990966797
2000-05-16,7.954936504364014
2000-05-17,7.994218349456787
2000-05-18,7.9824347496032715
2000-05-19,7.9981465339660645
2000-05-22,7.931362628936768
2000-05-23,7.8999409675598145
2000-05-24,7.9077935218811035
2000-05-25,7.762444019317627
2000-05-26,7.766371250152588
2000-05-30,7.876364707946777
2000-05-31,8.112071990966797
2000-06-01,8.037428855895996
2000-06-02,7.762444019317627
2000-06-05,7.652448654174805
2000-06-06,7.951005458831787
2000-06-07,7.848866939544678
2000-06-08,7.888154983520508
2000-06-09,7.837079048156738
2000-06-12,8.013858795166016
2000-06-13,8.013858795166016
2000-06-14,8.0020751953125
2000-06-15,7.888154983520508
2000-06-16,8.021036148071289
2000-06-19,7.9539313316345215
2000-06-20,7.910512924194336
2000-06-21,8.05261516571045
2000-06-22,7.839456081390381
2000-06-23,7.938145160675049
2000-06-26,7.874982833862305
2000-06-27,7.819721221923828
2000-06-28,7.752617359161377
2000-06-29,7.768405914306641
2000-06-30,7.665773868560791
2000-07-03,7.713141918182373
2000-07-05,7.393404483795166
2000-07-06,7.468404769897461
2000-07-07,7.503933429718018
2000-07-10,7.539454936981201
2000-07-11,7.807880401611328
2000-07-12,7.705249786376953
2000-07-13,7.5868239402771
2000-07-14,7.578927516937256
2000-07-17,7.480249881744385
2000-07-18,7.547348499298096
2000-07-19,7.527615070343018
2000-07-20,7.452613353729248
2000-07-21,7.310510635375977
2000-07-24,7.235508918762207
2000-07-25,7.168407917022705
2000-07-26,7.227621078491211
2000-07-27,7.476298809051514
2000-07-28,7.421041011810303
2000-07-31,7.373669624328613
2000-08-01,7.51182746887207
2000-08-02,7.653931617736816
2000-08-03,7.547348499298096
2000-08-04,7.578927516937256
2000-08-07,7.677616596221924
2000-08-08,7.6934075355529785
2000-08-09,7.831561088562012
2000-08-10,7.902615070343018
2000-08-11,7.8947224617004395
2000-08-14,8.005247116088867
2000-08-15,7.973668575286865
2000-08-16,8.084193229675293
2000-08-17,8.273666381835938
2000-08-18,8.17893123626709
2000-08-21,8.210508346557617
2000-08-22,8.1868257522583
2000-08-23,8.399980545043945
2000-08-24,8.218403816223145
2000-08-25,8.242087364196777
2000-08-28,8.273666381835938
2000-08-29,8.2815580368042
2000-08-30,8.210508346557617
2000-08-31,8.17893123626709
2000-09-01,8.261824607849121
2000-09-05,8.261824607849121
2000-09-06,8.443402290344238
2000-09-07,8.4039306640625
2000-09-08,8.305243492126465
2000-09-11,8.569718360900879
2000-09-12,8.557878494262695
2000-09-13,8.415772438049316
2000-09-14,8.39208698272705
2000-09-15,8.61073112487793
2000-09-18,8.626590728759766
2000-09-19,8.396656036376953
2000-09-20,8.230145454406738
2000-09-21,8.166716575622559
2000-09-22,8.115179061889648
2000-09-25,7.992286205291748
2000-09-26,8.182579040527344
2000-09-27,8.337189674377441
2000-09-28,8.305474281311035
2000-09-29,8.31340503692627
2000-10-02,8.483874320983887
