date,EEM
2003-04-14,7.236700057983398
2003-04-15,7.322683811187744
2003-04-16,7.40723180770874
2003-04-17,7.4602556228637695
2003-04-21,7.4573869705200195
2003-04-22,7.482464790344238
2003-04-23,7.517572402954102
2003-04-24,7.369258403778076
2003-04-25,7.2474493980407715
2003-04-28,7.367107391357422
2003-04-29,7.577044486999512
2003-04-30,7.555549621582031
2003-05-01,7.52617073059082
2003-05-02,7.641531944274902
2003-05-05,7.7239274978637695
2003-05-06,7.763334274291992
2003-05-07,7.7490057945251465
2003-05-08,7.680935382843018
2003-05-09,7.771216869354248
2003-05-12,7.8794097900390625
2003-05-13,7.834985256195068
2003-05-14,7.795577049255371
2003-05-15,7.811340808868408
2003-05-16,7.817069053649902
2003-05-19,7.630779266357422
2003-05-20,7.668757915496826
2003-05-21,7.675204753875732
2003-05-22,7.744705677032471
2003-05-23,7.824234485626221
2003-05-27,8.104389190673828
2003-05-28,8.139498710632324
2003-05-29,8.150245666503906
2003-05-30,8.244824409484863
2003-06-02,8.304295539855957
2003-06-03,8.241241455078125
2003-06-04,8.347285270690918
2003-06-05,8.355883598327637
2003-06-06,8.43398380279541
2003-06-09,8.361618995666504
2003-06-10,8.44759750366211
2003-06-11,8.45476245880127
2003-06-12,8.518531799316406
2003-06-13,8.515665054321289
2003-06-16,8.607378005981445
2003-06-17,8.784355163574219
2003-06-18,8.752110481262207
2003-06-19,8.752110481262207
2003-06-20,8.752110481262207
2003-06-23,8.537160873413086
2003-06-24,8.474109649658203
2003-06-25,8.54432201385498
2003-06-26,8.63675594329834
2003-06-27,8.596631050109863
2003-06-30,8.590898513793945
2003-07-01,8.68404483795166
2003-07-02,8.888245582580566
2003-07-03,8.91332721710205
2003-07-07,9.134012222290039
2003-07-08,9.15980339050293
2003-07-09,9.138311386108398
2003-07-10,8.97780990600586
2003-07-11,9.053045272827148
2003-07-14,9.21210765838623
2003-07-15,9.096033096313477
2003-07-16,9.103199005126953
2003-07-17,8.86531925201416
2003-07-18,8.983543395996094
2003-07-21,8.864602088928223
2003-07-22,8.970647811889648
2003-07-23,8.91332721710205
2003-07-24,8.956314086914062
2003-07-25,9.103199005126953
2003-07-28,9.153353691101074
2003-07-29,9.101765632629395
2003-07-30,9.03513240814209
2003-07-31,9.078121185302734
